	Reviewed by	Valid?	Terminology catalogue status	terminology name	acronym / shortname	access URL	domain	keywords	type of terminology	domain-specificity	main language	other language(s)	Variables	Units and dimensions	Terms for observable property	Terms for research object OoI 	terms for constraints	terms for matrix	terms for context	Supported by a model framework?	Terms for method description?	Terms for attribute values?	Properties related to nitrogen?	Alignment/connection to external concepts (selection)	could also align with?	Notes	Comments from meeting 18/08/2020	Further comments (author's name and date)
143	Maria	yes	1	Scientific Variables Ontology	SVO	https://scientificvariablesontology.org/svo/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	hydrology; physical oceanography; deep earth processes; aquatic chemistry; others	ontology	generic	EN		yes	no	yes	yes	yes	yes	yes	yes	no	yes		points to Wikipedia (and thus indirectly connected to other Wikimedia resources), mappings for CF names, SWEET available		SVO is primarily a "top"-level ontology focused on the creation of machine readable representations of scientific variables. The primary aim is to specify how phenomena and properties can be combined to create complex variable representations through design patterns. SVO does not focus on experimental/measurement methods and how they affect observations but rather represents "ideal" or "desired" variables. SVO has a populated lower ontology of domain-specific terms; however, SVO does not aim to define these terms -- rather, the long-term goal is to link these terms to persistent, external definitions. At the moment, many lower ontology terms are linked to Wikipedia and thus, indirectly, to Wikidata entries and the links to other resources made therein. SVO has a persistent IRI and is set up for content negotiation to provide html, xml, and ttl files as requested. SVO also provides a SPARQL endpoint. SVO is currently not registered any public repositories, although it should be added to ESIP COR within the next few months.		
118			0	Macroalgae Traits Thesaurus	MACROALGAETRAITS	http://thesauri.lifewatchitaly.eu/Macroalgae/index.php  OR http://ecoportal.lifewatch.eu/ontologies/MACROALGAETRAITS  	phycology http://data.europa.eu/8mn/euroscivoc/248e39b2-ff43-455f-8b47-514afe14b595	biological traits; phenotypes		narrow			yes	no	yes	no	yes			no								
142	Alison	yes	1	CF (Climate and Forecast) Standard Names	CF	http://vocab.nerc.ac.uk/collection/P07/current/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f climatology  http://data.europa.eu/8mn/euroscivoc/caef7888-78d0-473b-b3dc-97d8e9c65073	atmospheric physics & chemistry; ocean physics; chemistry & biogeochemistry; land ice; sea ice; hydrology; soil properties; vegetation; plus others	SKOS	generic	EN		yes	no	yes	yes	yes	yes	yes	yes	no	yes		yes		CF standard names follow syntax as laid out in http://cfconventions.org/Data/cf-standard-names/docs/guidelines.html. Many names are designed to describe the output of climate models and numerical weather prediction models, but can also be applied to comparable observations.		
135	Alison	yes	0	Alien Species Thesaurus	ALIENSPECIES	http://thesauri.lifewatchitaly.eu/AlienSpecies  OR http://ecoportal.lifewatch.eu/ontologies/ALIENSPECIES  	biological sciences http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1  ecosystems http://data.europa.eu/8mn/euroscivoc/81f1f477-aa96-427a-adf9-7742a429899a	invasive; non-native; animals; plants; habitat; seeds; eggs  	thesaurus	narrow	EN		no		no	no				no	no	no		yes		Seems to be a glossary of terminology used in the scientific literature describing habitats and spread of alien species, e.g., "weed", "parasitism", "contaminant", but doesn't contain identifiers for species or terms to measure or quantify effects of alien species.	may be a source of categories of research objects related to contamination and alien species?	
120	Gwen	yes	0	Zooplankton Traits Thesaurus	ZOOPLANKTRAITS	http://thesauri.lifewatchitaly.eu/zooplanktonTraits/index.php  OR  http://ecoportal.lifewatchitaly.eu/ontologies/ZOOPLANKTRAITS 	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9 	biological traits; phenotypes		narrow	EN		no		yes	no				no	no	yes		no		Mainly zooplankton morpho-functional traits in particular body shape, body size and biomass terms. Terms for research object set to "no" because the research object is fixed by the specificity of the terminology target (zooplankton). However we can discuss if the fact there is an extensive range of attributes related to further qualify the research object means that we should select "yes".	zooplankton specific use case but importance for interoperability between terminologies dealing with similar concepts	
121			0	Macrozoobenthos Traits Thesaurus		http://thesauri.lifewatchitaly.eu/MacrozoobenthosTraits/index.php	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9 	biological traits; phenotypes		narrow			no							no								
123	Anu		0	Fish Traits Thesaurus	FISHTRAITS	http://thesauri.lifewatchitaly.eu/fishTraits/index.php  OR  http://ecoportal.lifewatch.eu/ontologies/FISHTRAITS 	fisheries  http://data.europa.eu/8mn/euroscivoc/0b94b07d-b3bc-4b89-9d2a-5815d4fadb83 	biological traits; phenotypes	SKOS	narrow	EN		no		yes	yes				no	yes			yes		mappings- http://ecoportal.lifewatchitaly.eu/ontologies/FISHTRAITS/?p=mappings		
	Anu	yes	1	eReefs environment/observable-properties	eReefs	http://registry.it.csiro.au/def/environment/property	hydrology http://data.europa.eu/8mn/euroscivoc/a90b6f46-eb48-46d0-81c2-37cf667fd4a 	groundwater; surface water; marine water quality 	SKOS	narrow	EN		yes		yes	yes (see notes)				yes	no	no		yes		object is listed in an external terminology http://registry.it.csiro.au/def/environment/object the terminology also represents Units, Dimensions, Data Types (based on QUDT ontology)		
160	Anu	yes	1	ICES Parameters	ICES	https://vocab.ices.dk/?ref=37	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9 	trawl survey; oceanography;fisheries;acoustic; environmental data 	SKOS	broad	EN		yes		yes	yes (see notes)	yes	yes	yes	no	yes	yes	yes	yes		species names imported from external terminologies, ERMS/WoRMS semantic web service: https://vocab.ices.dk/services/RDF.aspx		Gwen 13/10/2020 - I have changed Anu's assessment of the semntic model bit because althrough ICES does not have a formal semantic model it does have categories of terms that have some element of logical structure; so I am selecting it as part of the "semantic model" subset.
169	Barbara		1	anaeethes	ANAEETHES	http://agroportal.lirmm.fr/ontologies/ANAEETHES  OR https://vocabulaires-ouverts.inrae.fr/2017/03/13/thesaurus-anaee/  	agricultural sciences http://data.europa.eu/8mn/euroscivoc/9b9abbee-82f5-4766-bd4d-feb73cf06573	hydrosphere; lithosphere; radiations; terrestrial ecosystem; experimental	SKOS	broad	EN	FR		yes	yes	yes	yes			no 	yes	yes	yes	AGROVOC, GEMET				
