	Reviewed by	Valid?	Terminology catalogue status	terminology name	acronym / shortname	access URL	domain	keywords	type of terminology	domain-specificity	main language	other language(s)	Variables	Units and dimensions	Terms for observable property	Terms for research object OoI 	terms for constraints	terms for matrix	terms for context	Supported by a model framework?	Terms for method description?	Terms for attribute values?	Properties related to nitrogen?	Alignment/connection to external concepts (selection)	could also align with?	Notes	Comments from meeting 18/08/2020	Further comments (author's name and date)
	Anne	yes	1	Plant Trait Ontology	TO	http://www.obofoundry.org/ontology/to.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Barbara 	yes	0	O&M version 3	Q&M3	https://github.com/opengeospatial/om-swg/blob/master/iso_19156_issues/ea/Observation_core_overview_latest.png	All	ontology model framework	ontology	generic high level										yes						(https://docs.google.com/document/d/1rbtyRuJV56qZfo_YOhcNYi-VQ9Giyt7A-9vuuo01qLI/edit)		
	Barbara 	yes	1	Quantities, Units, Dimensions and dataTypes	QUDT Units	http://www.qudt.org/doc/DOC_VOCAB-UNITS.html	All	units		generic				yes						no								
	Anne	yes	1	Marine Species Traits		http://www.marinespecies.org/traits/wiki/	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9	traits		narrow	EN				yes	yes				no	no	yes	no	used by WoRMS		available in RDF, but I don't see any mapping to other terminologies		gmon: aligns with a number of BODC PUV elements for the biological entity definiton including sex category (http://vocab.nerc.ac.uk/collection/S10/current/) and life stage (http://vocab.nerc.ac.uk/collection/S11/current/) 
	Gwen	yes	1	BODC parameter semantic model biological entity development stage terms	PUV lifestages	http://vocab.nerc.ac.uk/collection/S11/current/	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9	life stages	SKOS	narrow	EN		no		yes	yes				no	no	yes	no	UBERON, ICES MTRX, OPL	Marine species traits			
	Gwen	yes	1	BODC parameter semantic model biological entity subcomponent terms	PUV biological subcomponents	http://vocab.nerc.ac.uk/collection/S12/current/	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9	anatomical components	SKOS	narrow	EN		no		yes	yes				no	no	yes	no	ICES MATRX	Uberon			
	Gwen	yes	1	BODC parameter semantic model biological entity sex category terms	PUV sex categories	http://vocab.nerc.ac.uk/collection/S10/current/ 	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9	sex categories	SKOS	narrow	EN		no		yes	yes				no	no	yes	no	none yet	Marine species traits			
	Gwen	yes	1	BODC parameter semantic model parameter entity names	PUV properties	http://vocab.nerc.ac.uk/collection/S06/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	quantitative and qualitative properties	SKOS	narrow	EN		yes		yes	no				no	no	no	yes	QUDT				
	Gwen	yes	1	BODC parameter semantic model chemical substances	PUV chemical substances	http://vocab.nerc.ac.uk/collection/S27/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	chemical compounds	SKOS	narrow	EN		no		no	yes				(yes)	no	no	yes	ChEBI, CAS, ICES PARAM				
	Gwen	yes	1	BODC parameter semantic model biological entities	PUV biological entities	http://vocab.nerc.ac.uk/collection/S25/current/ 	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9	biological entities	SKOS	narrow	EN		no		no	yes				yes	no	no	no	WoRMS				
	Gwen	yes	1	BODC parameter semantic model matrices	PUV matrices	http://vocab.nerc.ac.uk/collection/S26/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	environmental matrices 	SKOS	narrow	EN		no		no	yes				yes	no	no	no	ICES MATRX, EnvO				
	Gwen	yes	1	BODC parameter semantic model sphere names	PUV domain spheres	http://vocab.nerc.ac.uk/collection/S21/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	environmental matrix sphere name	SKOS	narrow	EN		no		no	yes				no	no	no	no	EnvO				
	Gwen	yes	1	BODC units	BODC Units	http://vocab.nerc.ac.uk/collection/P06/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	units	SKOS	broad	EN		no	yes										QUDT units, dbpedia				
	Gwen	yes	1	BODC parameter semantic model analytical method entity descriptions	PUV analytical methods	http://vocab.nerc.ac.uk/collection/S04/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	analytical methods	SKOS	narrow	EN		no								yes			OBO_CHMO				
	Gwen	yes	1	BODC parameter semantic model sample preparation entity descriptions	PUV sample preparation methods	http://vocab.nerc.ac.uk/collection/S03/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	sample preparation methods	SKOS	narrow	EN		no								yes			OBO_CHMO				
	Gwen	yes	1	BODC parameter semantic model data processing entity descriptions	PUV data processing methods	http://vocab.nerc.ac.uk/collection/S05/current/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	data processing methods	SKOS	narrow	EN		no								yes							
	Gwen	yes	1	BODC parameter semantic model parameter statistic	PUV statistical parameters	http://vocab.nerc.ac.uk/collection/S07/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	statistical terms	SKOS	narrow	EN		no		yes						yes							
	Gwen	yes	1	BODC parameter semantic model physical entity names	PUV physical entities	http://vocab.nerc.ac.uk/collection/S18/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	physical entity	SKOS	narrow	EN		no			yes												
	Gwen	yes	1	BODC semantic model sphere phase names	PUV matrix phases	http://vocab.nerc.ac.uk/collection/S23/current/ 	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	matrix phases	SKOS	narrow	EN		no			yes								IUPAC				
	Gwen	yes	1	OZCAR thesaurus	OZCAR	https://in-situ.theia-land.fr/skosmos/theia_ozcar_thesaurus/en/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	critical zones	SKOS	broad	EN		yes		yes	yes				no	no	no	yes	EnvThes, GEMET, AGROVOC				
